age,q1,q2,q3,q4,q5,all
74.0,120.39796,2820.4082,71355.69,108300.0,274821.44,53498.57
75.0,748.4694,25800.0,51900.0,99459.19,147000.0,54440.816
76.0,100.0,15400.0,64304.96,59884.9,182167.34,50126.53
77.0,47.988777,8096.866,53000.0,74238.64,157403.19,57634.52
78.0,800.0,13988.729,61000.0,55050.0,169350.0,52787.656
79.0,236.64926,4847.3,48468.664,108454.63,102695.984,51851.875
80.0,0.0,26126.398,59506.082,54515.25,203910.9,57605.727
81.0,179.35788,8690.406,52098.098,65804.88,211939.5,48684.01
82.0,88.67761,27224.027,44024.39,52541.484,173808.12,51141.67
83.0,417.07318,3844.022,46619.516,76000.01,191543.66,49175.234
84.0,206.18575,821.45715,31923.941,50989.63,185510.1,43527.29
