age,q1,q2,q3,q4,q5,all
74.0,2617.347,20938.775,5862.8574,163500.0,217239.8,146833.17
75.0,-261.7347,5496.4287,69789.59,25600.0,124000.0,40830.613
76.0,314.08163,7328.5713,130930.61,104711.51,199773.27,129820.41
77.0,0.0,36500.0,48660.617,91150.0,54707.207,53862.75
78.0,300.0,15250.0,201552.86,97000.0,118250.0,103271.84
79.0,0.0,3829.2183,39975.61,30966.242,83391.016,29200.0
80.0,0.0,8637.9795,188146.34,82807.86,136768.02,86634.484
81.0,0.0,29565.855,17656.1,13377.019,129695.625,30585.367
82.0,0.0,5352.4395,66774.24,39668.293,262592.3,129787.59
83.0,0.0,0.0,41726.047,24164.65,88677.62,65716.57
84.0,0.0,4788.5913,18811.37,79760.51,125035.44,22241.68
