age,q1,q2,q3,q4,q5,all
84.0,1127.021,23226.568,43189.9,52285.5,101951.23,41707.32
85.0,480.21075,6441.464,54093.344,115245.234,143822.36,50100.28
86.0,1390.244,14093.773,45520.88,42382.293,153867.81,36179.43
87.0,177.35522,4433.881,47360.977,51544.727,155496.2,36695.47
88.0,92.68293,20.536428,17609.758,40436.992,132817.1,17609.758
89.0,0.0,2216.9404,51433.016,87895.914,92537.16,15385.566
90.0,177.35522,0.0,32858.285,75574.06,151969.58,45893.684
91.0,0.0,2875.1,115825.46,90984.59,162319.92,69413.13
92.0,0.0,739.31146,821.45715,38608.484,71631.06,19509.607
93.0,,,,,,
